,City,Cloudiness,Cuntry,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Yellowknife,20,CA,1564288080,35,62.45,-114.38,55.4,10.29
1,Jamestown,91,AU,1564288213,52,-33.21,138.6,63.26,6.8
2,Bluff,0,AU,1564288215,36,-23.58,149.07,73.92,7.9
3,Mar del Plata,0,AR,1564288216,59,-46.43,-67.52,36.68,6.33
4,Cidreira,0,BR,1564288217,91,-30.17,-50.22,49.6,3.0
5,Faanui,21,PF,1564288218,79,-16.48,-151.75,79.27,23.26
6,Kapaa,75,US,1564287980,69,22.08,-159.32,82.4,14.99
7,Ushuaia,40,AR,1564288220,99,-54.81,-68.31,44.6,18.34
8,Bela,100,PK,1564288222,62,26.23,66.31,85.37,7.67
9,Hilo,75,US,1564288223,65,19.71,-155.08,80.6,4.7
10,Kuloy,80,RU,1564288224,83,61.03,42.49,54.3,11.83
11,Kavieng,92,PG,1564288225,83,-2.57,150.8,80.63,20.13
12,Xining,95,CN,1564288226,57,36.62,101.77,67.13,4.68
13,Tasiilaq,100,GL,1564288228,75,65.61,-37.64,46.4,4.7
14,Rikitea,96,PF,1564288229,89,-23.12,-134.97,70.73,18.79
15,Kasongo-Lunda,44,CD,1564288230,84,-6.48,16.82,61.7,1.68
16,Victoria,75,BN,1564288231,62,5.28,115.24,89.6,6.93
17,Mataura,100,NZ,1564288232,80,-46.19,168.86,55.0,2.01
18,Vaini,75,IN,1564288233,88,15.34,74.49,73.4,4.7
19,Stephenville Crossing,5,CA,1564288235,87,48.5,-58.44,60.8,4.7
20,Iberia,0,PE,1564288236,90,-11.41,-69.49,58.39,2.53
21,Bredasdorp,17,ZA,1564288237,87,-34.53,20.04,51.8,1.12
22,Cabo San Lucas,20,MX,1564288105,48,22.89,-109.91,86.0,5.82
23,Keffi,100,NG,1564288239,94,8.85,7.88,71.44,5.5
24,Nioro,100,GM,1564288241,85,13.79,-15.05,77.39,6.93
25,Upernavik,95,GL,1564288243,67,72.79,-56.15,41.86,8.86
26,Mogzon,95,RU,1564288244,83,51.74,111.97,67.03,2.26
27,Komsomolets,19,RU,1564288245,86,52.77,41.29,66.14,14.79
28,Lebu,100,ET,1564288246,80,8.96,38.73,60.35,2.71
29,Halifax,90,CA,1564288134,93,44.65,-63.58,62.01,4.7
30,Lorengau,100,PG,1564288249,78,-2.02,147.27,80.99,12.77
31,Namibe,0,AO,1564288250,83,-15.19,12.15,64.74,6.33
32,Albany,1,US,1564288030,78,42.65,-73.75,75.0,3.36
33,New Norfolk,75,AU,1564288253,44,-42.78,147.06,57.2,12.75
34,Kieta,100,PG,1564288255,91,-6.22,155.63,77.65,15.23
35,Narsaq,100,GL,1564288256,70,60.91,-46.05,48.2,19.46
36,Hermanus,18,ZA,1564288257,99,-34.42,19.24,48.99,4.36
37,Awjilah,0,LY,1564288258,43,29.14,21.3,80.42,10.38
38,Longyearbyen,0,NO,1564288260,61,78.22,15.63,50.0,4.7
39,Avera,1,US,1564287752,78,33.19,-82.53,73.99,4.7
40,Doctor Juan Leon Mallorquin,90,PY,1564288263,87,-25.4,-55.27,50.0,5.82
41,Bandarbeyla,76,SO,1564288264,41,9.49,50.81,85.19,29.93
42,Punta Arenas,40,CL,1564288265,84,-53.16,-70.91,44.6,19.46
43,Torbay,5,CA,1564288067,67,47.66,-52.73,64.99,19.46
44,Qaanaaq,34,GL,1564288267,68,77.48,-69.36,38.28,5.01
45,Susa,95,CO,1564288270,76,5.45,-73.81,59.68,4.76
46,Port Lincoln,100,AU,1564288272,74,-34.72,135.86,56.42,9.66
47,Kodiak,1,US,1564287729,69,39.95,-94.76,75.2,6.93
48,Nikolskoye,0,RU,1564288274,77,59.7,30.79,71.01,2.26
49,Port Alfred,0,ZA,1564288275,14,-33.59,26.89,71.06,18.25
50,Dzilam Gonzalez,66,MX,1564288277,79,21.28,-88.93,80.94,11.39
51,Busselton,70,AU,1564287764,35,-33.64,115.35,62.01,7.83
52,Mount Isa,1,AU,1564288280,26,-20.73,139.49,80.6,8.05
53,New Glasgow,100,CA,1564287990,83,45.59,-62.65,66.99,5.01
54,Avarua,100,CK,1564288213,78,-21.21,-159.78,73.4,23.04
55,Kavaratti,40,IN,1564288283,83,10.57,72.64,82.4,5.82
56,Burton,75,US,1564288060,73,43.0,-83.62,79.0,10.29
